"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Wilson, Jacob","805779","194","7.4",31.4,"108.5","86.7","95.9","88","86.9","420","125","386","52",26.8,"6",3.1,2.7
"Arraez, Luis","650333","190","13.3",37.9,"107.8","84.8","92.8","87","82.5","376","157","355","30",15.8,"0",0,0
"Bichette, Bo","666182","190","8.9",37.9,"112.3","91.2","102.2","95.5","89","389","160","383","94",49.5,"16",8.4,6.5
"Kwan, Steven","680757","189","11.2",40.2,"104.1","86.5","95.4","87.8","84.9","406","159","377","43",22.8,"4",2.1,1.7
"Hoerner, Nico","663538","187","12.7",33.2,"104.7","87","96.2","88.7","87.5","385","155",,"51",27.3,"3",1.6,1.4
"Duran, Jarren","680776","185","11.6",34.1,"117.7","92.8","103.7","95.2","92.2","411","161","393","90",48.6,"15",8.1,5.7
"Lee, Jung Hoo","808982","185","12.4",35.1,"105.4","88.5","97.1","90.2","88","406","165","381","55",29.7,"7",3.8,3.1
"Tucker, Kyle","663656","185","18.8",38.4,"108.3","91.4","101","94.5","86.4","427","204","393","89",48.1,"25",13.5,9.8
"Chourio, Jackson","694192","183","10.3",31.7,"110","87.1","100.2","94.8","80.7","448","161","404","72",39.3,"13",7.1,5.3
"Betts, Mookie","605141","182","15.9",38.5,"107.2","89","97.9","91.5","86.1","412","189","391","68",37.4,"8",4.4,3.5
"Lindor, Francisco","596019","181","10.7",28.2,"109.7","89.9","100.6","94.8","86.3","415","154","391","76",42,"14",7.7,5.6
"Naylor, Josh","647304","180","9.6",29.4,"117.9","89.9","101.5","92.3","89.6","417","153","392","80",44.4,"11",6.1,4.8
"Donovan, Brendan","680977","179","9.6",43.6,"109.2","89.4","100.2","93.8","85.6","404","169","386","76",42.5,"14",7.8,6.3
"Witt Jr., Bobby","677951","178","14.7",37.1,"114.8","92.5","103.3","95.8","88.7","408","189","383","83",46.6,"19",10.7,7.8
"Ramírez, José","608070","177","21.2",39,"111.3","88.5","98.8","92.3","85.9","420","193","387","67",37.9,"15",8.5,6.8
"Gurriel Jr., Lourdes","666971","177","16.5",36.2,"109.1","87.8","99.3","93.3","83.8","416","179","402","66",37.3,"15",8.5,6.9
"Pasquantino, Vinnie","686469","176","15.7",33.5,"114.4","91.3","101.5","93.7","90","448","183","403","79",44.9,"16",9.1,6.9
"Peña, Jeremy","665161","174","9.2",29.3,"108.6","88.5","100.2","93.4","85.6","407","147","375","69",39.7,"11",6.3,4.8
"Albies, Ozzie","645277","174","19.8",37.9,"107.5","86.6","96.2","89.8","83.9","413","177","374","48",27.6,"7",4,3.1
"Perdomo, Geraldo","672695","173","13.5",35.8,"107.5","88.2","97.2","91.3","86.2","399","161","387","54",31.2,"8",4.6,3.4
"Díaz, Yandy","650490","172","5.4",27.3,"113.4","93.1","105.3","97.4","91.4","435","143","383","93",54.1,"15",8.7,6.9
"Turner, Trea","607208","172","9.6",34.9,"110.5","88.3","99.2","90.6","86.6","426","162","400","63",36.6,"9",5.2,3.8
"Altuve, Jose","514888","171","15.9",23.4,"107","85.2","96.9","90.8","83.8","410","139","381","52",30.4,"9",5.3,4
"Castellanos, Nick","592206","171","18.4",42.7,"108.5","88.7","98.8","91.6","85.1","414","194","394","64",37.4,"12",7,5.3
"Arenado, Nolan","571448","169","19.7",29,"107.9","87.2","97.4","90.9","84.5","400","169","385","58",34.3,"9",5.3,4.2
"Rodríguez, Julio","677594","169","8.1",31.4,"114.7","91.5","102.9","95.4","89.4","438","153","410","76",45,"15",8.9,6.4
"Harris II, Michael","671739","169","6.1",30.2,"112.4","89.2","102.2","92.2","87.3","446","146","412","67",39.6,"10",5.9,4.6
"Friedl, TJ","670770","168","12.4",32.1,"106.9","87.3","97.3","90.4","86.7","407","147","395","53",31.5,"3",1.8,1.3
"Nootbaar, Lars","663457","167","17.4",37.1,"112.7","92.2","102.5","95.6","88.8","418","188","387","89",53.3,"19",11.4,7.7
"Crow-Armstrong, Pete","691718","167","23.3",37.1,"108.6","89.7","100.3","93.8","82.7","418","197","390","69",41.3,"23",13.8,9.8
"Bohm, Alec","664761","165","6.9",37,"109.3","91","100.9","93.6","89.1","422","159","372","80",48.5,"12",7.3,5.7
"Garcia, Maikel","672580","165","9.6",34.5,"110.3","90.9","101.4","93.9","90","428","159","409","72",43.6,"10",6.1,4.5
"Paredes, Isaac","670623","165","19",40,"107.4","86.9","98.1","90.6","82.1","407","189","376","56",33.9,"9",5.5,3.9
"Goldschmidt, Paul","502671","165","12.7",40,"109.5","89.9","100.5","94","85","425","168","396","65",39.4,"14",8.5,6.4
