"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Senzatela, Antonio","622608","214","7.6",31.8,"112","90.7","79","95.1","87","433","157","409","99",46.3,"22",10.3,8.5
"Irvin, Jake","663623","211","15.1",36,"111.8","91","80","94.6","88.2","464","177","402","97",46,"26",12.3,9.4
"Sugano, Tomoyuki","608372","209","13.7",34.9,"116.3","89.1","78.6","94.1","85.7","431","163","397","77",36.8,"21",10,8.2
"Severino, Luis","622663","207","13.1",34.3,"112.4","89.1","77.8","92.3","86.8","445","159","418","82",39.6,"9",4.3,3.2
"Littell, Zack","641793","205","15.7",33.7,"114.5","90.3","79.6","94.7","87.4","420","172","383","91",44.4,"28",13.7,10.8
"Martin, Davis","663436","204","10.9",33.3,"114.7","91","80.3","93.6","90.5","423","152","390","94",46.1,"19",9.3,7.3
"Kremer, Dean","665152","204","14.2",32.8,"110.7","88.9","77.8","94.9","84.7","429","171","408","76",37.3,"19",9.3,7.2
"Schwellenbach, Spencer","680885","202","8.7",35.6,"112.5","89.5","78.3","92.5","87.5","442","155","410","85",42.1,"14",6.9,5.1
"Lorenzen, Michael","547179","199","15.1",35.7,"110.6","89.5","79.5","92.7","87.4","422","172","400","82",41.2,"17",8.5,6.3
"Webb, Logan","657277","199","4.4",34.2,"116.8","90.2","79.1","94.7","87.4","416","130","371","87",43.7,"11",5.5,3.7
"Pallante, Andre","669467","199","-1.8",28.1,"114.8","89.9","78.4","95.6","86.9","448","118","393","88",44.2,"16",8,6.1
"Freeland, Kyle","607536","198","8.6",37.4,"112.8","89.5","78.7","93.1","86.3","444","157","412","81",40.9,"14",7.1,5.5
"Cannon, Jonathan","686563","197","16.3",33,"113.3","89.9","78.9","94.2","87.1","419","174","381","88",44.7,"19",9.6,7.2
"Keller, Mitch","656605","197","11.6",35,"112.6","89.1","78.3","93.8","86.4","445","162","395","82",41.6,"12",6.1,4.4
"Martinez, Nick","607259","197","15.5",34.5,"111.4","88.1","78.1","91.3","87.4","418","166","396","69",35,"11",5.6,4.3
"Wacha, Michael","608379","196","15",39.8,"110.7","87.7","76.6","93","83","430","165","405","68",34.7,"13",6.6,5
"Lodolo, Nick","666157","194","11.8",31.4,"112.1","89.9","79.3","94.3","86.7","429","168","393","80",41.2,"15",7.7,5.6
"Fedde, Erick","607200","193","14.3",31.1,"113.2","91.3","81.7","93.5","91.3","412","162","392","85",44,"19",9.8,7.3
"Soriano, José","667755","193","-2.9",25.4,"112.7","90.5","78.5","96.7","88.4","417","105","402","89",46.1,"16",8.3,5.9
"Castillo, Luis","622491","193","14.4",33.7,"113.6","90.3","79.3","93.9","87.3","404","168","392","87",45.1,"19",9.8,7.2
"Pfaadt, Brandon","694297","193","12.5",45.6,"112.9","92.5","82.4","96.3","88","414","179","397","97",50.3,"26",13.5,10
"Kochanowicz, Jack","686799","191","7.7",24.1,"116.6","92.2","82.4","94.4","91.6","463","141","411","91",47.6,"18",9.4,6.8
"Parker, Mitchell","680730","190","14.4",28.9,"113","90.4","79.8","93.7","88.5","419","164","393","89",46.8,"13",6.8,5
"Fried, Max","608331","190","6.6",28.9,"111.8","88.4","76.7","93.8","84.4","429","145","419","76",40,"14",7.4,5.1
"Taillon, Jameson","592791","190","18.5",35.8,"115.7","87.7","75.2","94.1","81","436","173","396","77",40.5,"24",12.6,9.5
"Ober, Bailey","641927","189","22.8",36,"116.6","90","79.4","93.2","87.3","416","188","388","74",39.2,"15",7.9,6
