Name,Side
AJ Pollock,R
Aaron Judge,R
Aaron Schunk,R
Adam Duvall,R
Adam Engel,R
Adolis García,R
Agustín Ramírez,R
Alan Trejo,R
Alec Bohm,R
Aledmys Díaz,R
Alejandro Kirk,R
Alex Bregman,R
Alex Call,R
Alex Jackson,R
Alexander Canario,R
Ali Sánchez,R
Alika Williams,R
Amed Rosario,R
Andre Lipcius,R
Andrew Knizner,R
Andrew McCutchen,R
Andrew Vaughn,R
Andrew Velazquez,R
Andruw Monasterio,R
Andrés Chaparro,R
Andy Ibáñez,R
Andy Pages,R
Anthony Rendon,R
Anthony Volpe,R
Aramis Garcia,R
Armando Alvarez,R
Austin Barnes,R
Austin Hays,R
Austin Hedges,R
Austin Martin,R
Austin Nola,R
Austin Riley,R
Austin Slater,R
Austin Wynns,R
Avisaíl García,R
Ben Williamson,R
Billy Cook,R
Blake Dunn,R
Blaze Alexander,R
Bo Bichette,R
Bobby Dalbec,R
Bobby Witt Jr.,R
Brandon Dixon,R
Brandon Drury,R
Brandon Lockridge,R
Braxton Fulford,R
Brendan Rodgers,R
Brent Rooker,R
Brenton Doyle,R
Brett Harris,R
Brewer Hicklen,R
Brian Anderson,R
Brian O'Keefe,R
Brian Serven,R
Bryan De La Cruz,R
Bryan Ramos,R
Bryce Teodosio,R
Bubba Thompson,R
Buddy Kennedy,R
Byron Buxton,R
C.J. Cron,R
Caleb Durbin,R
Caleb Hamilton,R
Cam Eden,R
Cam Gallagher,R
Cam Smith,R
Carlos Correa,R
Carlos Narváez,R
Carlos Pérez,R
Carson Kelly,R
Carter Kieboom,R
Casey Schmitt,R
Ceddanne Rafaela,R
Chad Wallach,R
Chadwick Tromp,R
Charles Leblanc,R
Chas McCormick,R
Chase Meidroth,R
Chris Owings,R
Chris Taylor,R
Christian Arroyo,R
Christian Bethancourt,R
Christian Encarnacion-Strand,R
Christian Koss,R
Christian Vázquez,R
Christian Walker,R
Christopher Morel,R
Chuckie Robinson,R
Clint Frazier,R
Coby Mayo,R
Coco Montes,R
Connor Joe,R
Connor Norby,R
Connor Wong,R
Corey Julks,R
Cristian Pache,R
Curt Casali,R
Curtis Mead,R
DJ LeMahieu,R
Dairon Blanco,R
Dalton Guthrie,R
Dane Myers,R
Danny Jansen,R
Danny Mendick,R
Dansby Swanson,R
Darell Hernaiz,R
Darin Ruf,R
David Bote,R
David Fletcher,R
David Fry,R
David Hensley,R
David Villar,R
Davis Schneider,R
Davis Wendzel,R
Daz Cameron,R
Derek Hill,R
Diego A. Castillo,R
Dillon Dingler,R
Donovan Solano,R
Drew Ellis,R
Drew Maggi,R
Dylan Crews,R
Dylan Moore,R
Edmundo Sosa,R
Edward Olivares,R
Eguy Rosario,R
Elehuris Montero,R
Eli White,R
Elias Díaz,R
Eloy Jiménez,R
Elvis Andrus,R
Emmanuel Rivera,R
Enrique Hernández,R
Eric Haase,R
Eric Wagaman,R
Ernie Clement,R
Esteury Ruiz,R
Eugenio Suárez,R
Evan Longoria,R
Everson Pereira,R
Ezequiel Durán,R
Ezequiel Tovar,R
Fernando Tatis Jr.,R
Francisco Álvarez,R
Franmil Reyes,R
Freddy Fermin,R
Gabriel Arias,R
Gabriel Moreno,R
Garrett Cooper,R
Garrett Hampson,R
Gary Sánchez,R
George Springer,R
Giancarlo Stanton,R
Gio Urshela,R
Gleyber Torres,R
Grae Kessinger,R
Grant Koch,R
Ha-Seong Kim,R
Hanser Alberto,R
Harold Ramírez,R
Harrison Bader,R
Hayden Senger,R
Heliot Ramos,R
Henry Davis,R
Hunter Dozier,R
Hunter Goodman,R
Hunter Renfroe,R
Isaac Paredes,R
Isiah Kiner-Falefa,R
Iván Herrera,R
J.D. Davis,R
J.D. Martinez,R
J.T. Realmuto,R
Jack López,R
Jackson Chourio,R
Jacob Amaya,R
Jacob Stallings,R
Jacob Wilson,R
Jacob Young,R
Jahmai Jones,R
Jair Camargo,R
Jake Burger,R
Jake Marisnick,R
Jake Meyers,R
Jake Rogers,R
Jakson Reetz,R
James McCann,R
Jamie Westbrook,R
Jared Triolo,R
Jason Delay,R
Javier Báez,R
Javier Sanoja,R
Jean Segura,R
Jerar Encarnacion,R
Jeremy Peña,R
Jesús Aguilar,R
Jeter Downs,R
Jhonkensy Noel,R
Jhonny Pereda,R
Jo Adell,R
Joey Bart,R
Joey Meneses,R
Joey Ortiz,R
Joey Wiemer,R
Johan Rojas,R
Johnathan Rodríguez,R
Jon Berti,R
Jonah Bride,R
Jonathan Davis,R
Jonathan India,R
Jonathan Ornelas,R
Jonathan Schoop,R
Jonny DeLuca,R
Jordan Beck,R
Jordan Diaz,R
Jordan Lawlar,R
Jordan Luplow,R
Jordan Walker,R
Jordan Westburg,R
Jordyn Adams,R
Jorge Alfaro,R
Jorge Mateo,R
Jorge Soler,R
Josh Donaldson,R
Josh Harrison,R
Josh Jung,R
José Abreu,R
José Altuve,R
José Azocar,R
José Barrero,R
José Caballero,R
José Fermín,R
José Iglesias,R
José Miranda,R
José Siri,R
José Trevino,R
Juan Yepez,R
Julio Rodríguez,R
Junior Caminero,R
Justin Foscue,R
Justin Turner,R
Justyn-Henry Malloy,R
Keston Hiura,R
Kevin Alcántara,R
Kevin Newman,R
Kevin Padlo,R
Kevin Pillar,R
Kevin Smith,R
Ke’Bryan Hayes,R
Korey Lee,R
Kris Bryant,R
Kristian Campbell,R
Kyle Farmer,R
Kyle Garlick,R
Kyle Higashioka,R
Kyle Lewis,R
Kyren Paris,R
Lane Thomas,R
Lenyn Sosa,R
Leo Jiménez,R
Levi Jordan,R
Liover Peguero,R
Logan O’Hoppe,R
Logan Porter,R
Lourdes Gurriel Jr.,R
Luis Campusano,R
Luis De Los Santos,R
Luis Matos,R
Luis Robert Jr.,R
Luis Torrens,R
Luis Urías,R
Luis Vázquez,R
Luisangel Acuña,R
Luke Keaschall,R
Luke Maile,R
Luke Voit,R
Luke Williams,R
Luken Baker,R
Maikel Garcia,R
Manny Machado,R
Manny Piña,R
Manuel Margot,R
Marcell Ozuna,R
Marco Luciano,R
Marcus Semien,R
Mark Canha,R
Mark Mathias,R
Mark Vientos,R
Martín Maldonado,R
Mason McCoy,R
Masyn Winn,R
Matt Chapman,R
Matt Duffy,R
Matt Gorski,R
Matt McLain,R
Matt Reynolds,R
Matt Shaw,R
Matt Vierling,R
Matthew Batten,R
Mauricio Dubón,R
Max Muncy,R
Max Schuemann,R
Michael A. Taylor,R
Michael Chavis,R
Michael Helman,R
Michael Stefanic,R
Miguel Amaya,R
Miguel Andujar,R
Miguel Cabrera,R
Miguel Rojas,R
Miguel Sanó,R
Miguel Vargas,R
Mike Brosseau,R
Mike Trout,R
Mike Zunino,R
Mitch Garver,R
Mitch Haniger,R
Mookie Betts,R
Myles Straw,R
Nacho Alvarez Jr.,R
Nate Eaton,R
Nelson Cruz,R
Nelson Velázquez,R
Nick Ahmed,R
Nick Allen,R
Nick Castellanos,R
Nick Fortes,R
Nick Gonzales,R
Nick Loftin,R
Nick Madrigal,R
Nick Senzel,R
Nick Yorke,R
Nico Hoerner,R
Noelvi Marte,R
Nolan Arenado,R
Orlando Arcia,R
Oscar Gonzalez,R
